,iso_code,country,sex,age,year,employment,unemployment,baseline_2020,recovery_score
0,AFG,Afghanistan,Total,15+,2025,32.457,13.351,36.71,-4.253
1,AFG,Afghanistan,Total,15-24,2025,31.419,16.785,28.528,2.891000000000002
2,AFG,Afghanistan,Total,25+,2025,33.056,11.34,41.887,-8.831000000000003
3,AFG,Afghanistan,Male,15+,2025,61.038,12.503,59.771,1.266999999999996
4,AFG,Afghanistan,Male,15-24,2025,57.355,15.814,43.475,13.879999999999995
5,AFG,Afghanistan,Male,25+,2025,63.243,10.594,70.469,-7.225999999999992
6,AFG,Afghanistan,Female,15+,2025,3.815,24.996,13.71,-9.895000000000001
7,AFG,Afghanistan,Female,15-24,2025,4.235,28.496,12.927,-8.692
8,AFG,Afghanistan,Female,25+,2025,3.58,22.493,14.187,-10.607
9,AFG,Afghanistan,Total,15+,2024,32.408,13.687,36.71,-4.302
10,AFG,Afghanistan,Total,15-24,2024,31.395,17.235,28.528,2.867000000000001
11,AFG,Afghanistan,Total,25+,2024,33.005,11.56,41.887,-8.881999999999998
12,AFG,Afghanistan,Male,15+,2024,61.014,12.779,59.771,1.243000000000002
13,AFG,Afghanistan,Male,15-24,2024,57.357,16.192,43.475,13.881999999999998
14,AFG,Afghanistan,Male,25+,2024,63.251,10.765,70.469,-7.217999999999996
15,AFG,Afghanistan,Female,15+,2024,3.787,26.081,13.71,-9.923000000000002
16,AFG,Afghanistan,Female,15-24,2024,4.208,29.719,12.927,-8.719
17,AFG,Afghanistan,Female,25+,2024,3.548,23.407,14.187,-10.639
18,AFG,Afghanistan,Total,15+,2023,32.323,14.008,36.71,-4.3870000000000005
19,AFG,Afghanistan,Total,15-24,2023,31.357,17.494,28.528,2.8290000000000006
20,AFG,Afghanistan,Total,25+,2023,32.904,11.873,41.887,-8.982999999999997
21,AFG,Afghanistan,Male,15+,2023,60.906,13.083,59.771,1.134999999999998
22,AFG,Afghanistan,Male,15-24,2023,57.325,16.435,43.475,13.850000000000001
23,AFG,Afghanistan,Male,25+,2023,63.142,11.061,70.469,-7.326999999999991
24,AFG,Afghanistan,Female,15+,2023,3.777,26.597,13.71,-9.933
25,AFG,Afghanistan,Female,15-24,2023,4.201,30.133,12.927,-8.725999999999999
26,AFG,Afghanistan,Female,25+,2023,3.53,23.941,14.187,-10.657
27,AFG,Afghanistan,Total,15+,2022,32.333,14.1,36.71,-4.3770000000000024
28,AFG,Afghanistan,Total,15-24,2022,31.465,17.539,28.528,2.937000000000001
29,AFG,Afghanistan,Total,25+,2022,32.865,11.943,41.887,-9.021999999999998
30,AFG,Afghanistan,Male,15+,2022,60.977,13.168,59.771,1.205999999999996
31,AFG,Afghanistan,Male,15-24,2022,57.562,16.474,43.475,14.086999999999996
32,AFG,Afghanistan,Male,25+,2022,63.152,11.127,70.469,-7.316999999999993
33,AFG,Afghanistan,Female,15+,2022,3.779,26.742,13.71,-9.931000000000001
34,AFG,Afghanistan,Female,15-24,2022,4.22,30.212,12.927,-8.707
35,AFG,Afghanistan,Female,25+,2022,3.518,24.066,14.187,-10.669
36,AFG,Afghanistan,Total,15+,2021,35.8,12.006,36.71,-0.9100000000000037
37,AFG,Afghanistan,Total,15-24,2021,32.305,16.013,28.528,3.777000000000001
38,AFG,Afghanistan,Total,25+,2021,37.98,9.721,41.887,-3.9070000000000036
39,AFG,Afghanistan,Male,15+,2021,59.542,10.923,59.771,-0.2289999999999992
40,AFG,Afghanistan,Male,15-24,2021,51.367,14.704,43.475,7.891999999999996
41,AFG,Afghanistan,Male,25+,2021,64.838,8.849,70.469,-5.631
42,AFG,Afghanistan,Female,15+,2021,12.139,16.946,13.71,-1.5710000000000015
43,AFG,Afghanistan,Female,15-24,2021,12.416,21.231,12.927,-0.5109999999999992
44,AFG,Afghanistan,Female,25+,2021,11.972,14.03,14.187,-2.215
45,AFG,Afghanistan,Total,15+,2020,36.71,11.71,36.71,0.0
46,AFG,Afghanistan,Total,15-24,2020,28.528,16.053,28.528,0.0
47,AFG,Afghanistan,Total,25+,2020,41.887,9.697,41.887,0.0
48,AFG,Afghanistan,Male,15+,2020,59.771,10.456,59.771,0.0
49,AFG,Afghanistan,Male,15-24,2020,43.475,14.449,43.475,0.0
50,AFG,Afghanistan,Male,25+,2020,70.469,8.731,70.469,0.0
51,AFG,Afghanistan,Female,15+,2020,13.71,16.778,13.71,0.0
52,AFG,Afghanistan,Female,15-24,2020,12.927,21.237,12.927,0.0
53,AFG,Afghanistan,Female,25+,2020,14.187,14.077,14.187,0.0
54,AGO,Angola,Total,15+,2025,64.236,14.108,61.078,3.1580000000000013
55,AGO,Angola,Total,15-24,2025,39.362,27.229,34.617,4.7450000000000045
56,AGO,Angola,Total,25+,2025,77.398,9.728,74.513,2.884999999999991
57,AGO,Angola,Male,15+,2025,66.653,13.96,62.744,3.909000000000006
58,AGO,Angola,Male,15-24,2025,39.94,27.767,34.036,5.903999999999996
59,AGO,Angola,Male,25+,2025,81.282,9.295,77.8,3.4819999999999993
